"filename", "language", "Gradle", "Batch", "Java", "Java Properties", "comment", "blank", "total"
"c:\Users\appri\OneDrive - Radboud Universiteit\RD Project\Project 06-06-2024 Hessel\RestFoodRiders\app\bin\main\test\AccountPage.class", "Java", 0, 0, -101, 0, -4, 0, -105
"c:\Users\appri\OneDrive - Radboud Universiteit\RD Project\Project 06-06-2024 Hessel\RestFoodRiders\app\bin\main\test\AddDish.class", "Java", 0, 0, -149, 0, 0, 0, -149
"c:\Users\appri\OneDrive - Radboud Universiteit\RD Project\Project 06-06-2024 Hessel\RestFoodRiders\app\bin\main\test\App.class", "Java", 0, 0, -13, 0, 0, 0, -13
"c:\Users\appri\OneDrive - Radboud Universiteit\RD Project\Project 06-06-2024 Hessel\RestFoodRiders\app\bin\main\test\Cart.class", "Java", 0, 0, -17, 0, 0, 0, -17
"c:\Users\appri\OneDrive - Radboud Universiteit\RD Project\Project 06-06-2024 Hessel\RestFoodRiders\app\bin\main\test\Dish.class", "Java", 0, 0, -25, 0, 0, 0, -25
"c:\Users\appri\OneDrive - Radboud Universiteit\RD Project\Project 06-06-2024 Hessel\RestFoodRiders\app\bin\main\test\DishDB.class", "Java", 0, 0, -15, 0, 0, 0, -15
"c:\Users\appri\OneDrive - Radboud Universiteit\RD Project\Project 06-06-2024 Hessel\RestFoodRiders\app\bin\main\test\DishInfo.class", "Java", 0, 0, -84, 0, 0, 0, -84
"c:\Users\appri\OneDrive - Radboud Universiteit\RD Project\Project 06-06-2024 Hessel\RestFoodRiders\app\bin\main\test\FoodImages.class", "Java", 0, 0, -76, 0, 0, 0, -76
"c:\Users\appri\OneDrive - Radboud Universiteit\RD Project\Project 06-06-2024 Hessel\RestFoodRiders\app\bin\main\test\Gift.class", "Java", 0, 0, -6, 0, 0, 0, -6
"c:\Users\appri\OneDrive - Radboud Universiteit\RD Project\Project 06-06-2024 Hessel\RestFoodRiders\app\bin\main\test\HomePage.class", "Java", 0, 0, -66, 0, 0, 0, -66
"c:\Users\appri\OneDrive - Radboud Universiteit\RD Project\Project 06-06-2024 Hessel\RestFoodRiders\app\bin\main\test\LoginPage.class", "Java", 0, 0, -78, 0, 0, 0, -78
"c:\Users\appri\OneDrive - Radboud Universiteit\RD Project\Project 06-06-2024 Hessel\RestFoodRiders\app\bin\main\test\NavigationButtons.class", "Java", 0, 0, -46, 0, 0, 0, -46
"c:\Users\appri\OneDrive - Radboud Universiteit\RD Project\Project 06-06-2024 Hessel\RestFoodRiders\app\bin\main\test\Product.class", "Java", 0, 0, -10, 0, 0, 0, -10
"c:\Users\appri\OneDrive - Radboud Universiteit\RD Project\Project 06-06-2024 Hessel\RestFoodRiders\app\bin\main\test\RegisterPage.class", "Java", 0, 0, -96, 0, 0, 0, -96
"c:\Users\appri\OneDrive - Radboud Universiteit\RD Project\Project 06-06-2024 Hessel\RestFoodRiders\app\bin\main\test\Search.class", "Java", 0, 0, -18, 0, 0, 0, -18
"c:\Users\appri\OneDrive - Radboud Universiteit\RD Project\Project 06-06-2024 Hessel\RestFoodRiders\app\bin\main\test\Tags.class", "Java", 0, 0, -23, 0, 0, 0, -23
"c:\Users\appri\OneDrive - Radboud Universiteit\RD Project\Project 06-06-2024 Hessel\RestFoodRiders\app\bin\main\test\User.class", "Java", 0, 0, -14, 0, 0, 0, -14
"c:\Users\appri\OneDrive - Radboud Universiteit\RD Project\Project 06-06-2024 Hessel\RestFoodRiders\app\bin\main\test\UserDB.class", "Java", 0, 0, -21, 0, 0, 0, -21
"c:\Users\appri\OneDrive - Radboud Universiteit\RD Project\Project 06-06-2024 Hessel\RestFoodRiders\app\build.gradle", "Gradle", -14, 0, 0, 0, 0, -3, -17
"c:\Users\appri\OneDrive - Radboud Universiteit\RD Project\Project 06-06-2024 Hessel\RestFoodRiders\app\src\test\java\test\AppTest.java", "Java", 0, 0, 0, 0, 0, -1, -1
"c:\Users\appri\OneDrive - Radboud Universiteit\RD Project\Project 06-06-2024 Hessel\RestFoodRiders\gradle\wrapper\gradle-wrapper.properties", "Java Properties", 0, 0, 0, -6, 0, -1, -7
"c:\Users\appri\OneDrive - Radboud Universiteit\RD Project\Project 06-06-2024 Hessel\RestFoodRiders\gradlew.bat", "Batch", 0, -41, 0, 0, -30, -22, -93
"c:\Users\appri\OneDrive - Radboud Universiteit\RD Project\Project 06-06-2024 Hessel\RestFoodRiders\settings.gradle", "Gradle", -2, 0, 0, 0, -8, -2, -12
"Total", "-", -16, -41, -858, -6, -42, -29, -992